Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Por que Folhelho (Shale) é importante na indústria petrolífera?	Rocha biogênica rica em matéria orgânica: geralmente selante/geradora com baixa permeabilidade.
Cite uma aplicação prática de Folhelho (Shale).	Rocha biogênica rica em matéria orgânica: geralmente selante/geradora com baixa permeabilidade.
O que é Granito?	Rocha ígnea compacta com grãos não orientados; baixa porosidade.
Defina Granito.	Rocha ígnea compacta com grãos não orientados; baixa porosidade.
Explique Granito em contexto de perfuração e produção de petróleo.	Rocha ígnea compacta com grãos não orientados; baixa porosidade.
Por que Granito é importante na indústria petrolífera?	Rocha ígnea compacta com grãos não orientados; baixa porosidade.
Cite uma aplicação prática de Granito.	Rocha ígnea compacta com grãos não orientados; baixa porosidade.
Quais as causas e soluções para Formações Pressurizadas (Kick/Explosão)?	Causa: Poro-pressão maior que o peso da coluna de fluido. Solução: aumentar peso da lama de perfuração, assentar revestimento, controlar circulação e protocolos de kick.
O que causa desmoronamento em formações frágeis e qual a solução?	Causa: baixa resistência da rocha e efeitos mecânicos da operação (vibração, coluna). Solução: ajustar propriedades da lama, reduzir sobrepressão, usar revestimento quando necessário.
Como resolver problemas em formações móveis (sal/folhelho)?	Causa: diferença de densidade/instabilidade mecânica. Solução: aumentar peso do fluido, usar fundação/casing e planeamento geomecânico.
Como se evita reativação de falhas durante operações?	Avaliar tensões in-situ e aplicar o critério de Mohr-Coulomb; reduzir pressões perturbadoras e projetar janelas de perfuração segura.
O que é a janela de perfuração segura?	Intervalo entre a pressão de poro (colapso inferior) e a pressão de fratura (perda de circulação superior). Perfuração deve manter pressão de fundo dentro desta janela.
O que é sanding e quando ocorre?	Sanding é a produção de partículas de areia quando as tensões do fluxo excedem a resistência da rocha reservatório; ocorre em formações fracas e sob produção intensa.
Classifique o grão de diâmetro 6.3944 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.2504 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 2.7505 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.2323 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 7.3648 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.7671 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 8.9218 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.8697 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 4.2194 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.2983 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 2.1866 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 5.0537 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.2657 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 1.9886 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 6.4989 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 5.4496 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.2046 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 5.8928 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 8.0944 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.0653 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 8.0583 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.9815 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 3.4027 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 1.555 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 9.5721 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 3.3661 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.9277 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 0.9674 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 8.475 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.0374 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 8.0713 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 7.2974 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 5.3624 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 9.7312 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 3.7855 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 5.5205 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 8.2941 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.1853 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 8.6171 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 5.7736 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 7.0458 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.4585 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 2.2792 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.8941 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.7982 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 2.3281 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 1.0103 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 2.78 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.357 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 3.6485 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 3.702 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.0953 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.67 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 9.3666 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.4805 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.0914 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 1.7116 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 7.2913 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 1.6343 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 3.7947 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 9.8952 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.4001 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 5.5696 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.8462 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 8.4286 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 7.7601 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.2907 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 0.3213 mm segundo Wentworth.	Areia (2 - 0.06 mm)
Classifique o grão de diâmetro 3.1547 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.6776 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.1101 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 9.4291 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 8.7637 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 3.147 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 6.5545 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 3.9565 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 9.1455 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 4.5887 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.649 mm segundo Wentworth.	Cascalho (> 2 mm)
Classifique o grão de diâmetro 2.4665 mm segundo Wentworth.	Cascalho (> 2 mm)
O que significa A1 na classificação ISRM (graus de alteração)?	Rocha sã: sem sinais de alteração.
O que significa A2 na classificação ISRM (graus de alteração)?	Pouco alterada: alteração apenas nas descontinuidades.
O que significa A3 na classificação ISRM (graus de alteração)?	Medianamente alterada: fragmentos NÃO quebram com a mão.
O que significa A4 na classificação ISRM (graus de alteração)?	Muito alterada: fragmentos quebram facilmente com a mão.
O que significa A5 na classificação ISRM (graus de alteração)?	Completamente alterada: decomposta; transforma-se em solo residual.
Calcule I/L e S/I para L=2.3 mm, I=1.8 mm, S=1.5 mm (Exemplo 4).	I/L = 1.8 / 2.3 = 0.78; S/I = 1.5 / 1.8 = 0.83. Interpretar no gráfico de Zingg (provavelmente Equiaxial/Disco).
Calcule S/L e (L-I)/(L-S) para L=4.12 mm, I=2.83 mm, S=1.75 mm (Exemplo 5).	S/L = 1.75 / 4.12 = 0.42; (L-I)/(L-S) = (4.12-2.83)/(4.12-1.75) = 1.29/2.37 = 0.54. Usar a tabela de 10 classes de esfericidade para classificação.
Calcule I/L e S/I para L=3.89 mm, I=2.69 mm, S=2.0 mm.	I/L = 2.69/3.89 = 0.69; S/I = 2.0/2.69 = 0.74. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.51 mm, I=4.08 mm, S=2.28 mm.	I/L = 4.08/5.51 = 0.74; S/I = 2.28/4.08 = 0.56. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.99 mm, I=4.66 mm, S=2.31 mm.	I/L = 4.66/5.99 = 0.78; S/I = 2.31/4.66 = 0.50. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.43 mm, I=0.91 mm, S=0.69 mm.	I/L = 0.91/1.43 = 0.64; S/I = 0.69/0.91 = 0.76. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.0 mm, I=3.74 mm, S=1.8 mm.	I/L = 3.74/5.0 = 0.75; S/I = 1.8/3.74 = 0.48. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.03 mm, I=2.87 mm, S=2.05 mm.	I/L = 2.87/3.03 = 0.95; S/I = 2.05/2.87 = 0.71. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.86 mm, I=5.28 mm, S=2.41 mm.	I/L = 5.28/5.86 = 0.90; S/I = 2.41/5.28 = 0.46. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.66 mm, I=3.91 mm, S=2.81 mm.	I/L = 3.91/4.66 = 0.84; S/I = 2.81/3.91 = 0.72. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.48 mm, I=2.04 mm, S=1.03 mm.	I/L = 2.04/2.48 = 0.82; S/I = 1.03/2.04 = 0.50. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.29 mm, I=2.5 mm, S=2.32 mm.	I/L = 2.5/3.29 = 0.76; S/I = 2.32/2.5 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.4 mm, I=3.74 mm, S=2.62 mm.	I/L = 3.74/5.4 = 0.69; S/I = 2.62/3.74 = 0.70. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.06 mm, I=1.89 mm, S=1.67 mm.	I/L = 1.89/2.06 = 0.92; S/I = 1.67/1.89 = 0.88. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.63 mm, I=2.17 mm, S=1.64 mm.	I/L = 2.17/2.63 = 0.83; S/I = 1.64/2.17 = 0.76. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.93 mm, I=1.67 mm, S=1.2 mm.	I/L = 1.67/1.93 = 0.87; S/I = 1.2/1.67 = 0.72. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.94 mm, I=3.88 mm, S=1.75 mm.	I/L = 3.88/4.94 = 0.79; S/I = 1.75/3.88 = 0.45. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.76 mm, I=1.67 mm, S=1.53 mm.	I/L = 1.67/2.76 = 0.61; S/I = 1.53/1.67 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.42 mm, I=4.83 mm, S=2.92 mm.	I/L = 4.83/5.42 = 0.89; S/I = 2.92/4.83 = 0.60. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.48 mm, I=1.34 mm, S=1.24 mm.	I/L = 1.34/1.48 = 0.91; S/I = 1.24/1.34 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.61 mm, I=1.24 mm, S=0.6 mm.	I/L = 1.24/1.61 = 0.77; S/I = 0.6/1.24 = 0.48. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.85 mm, I=4.21 mm, S=2.16 mm.	I/L = 4.21/4.85 = 0.87; S/I = 2.16/4.21 = 0.51. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.48 mm, I=2.76 mm, S=1.61 mm.	I/L = 2.76/3.48 = 0.79; S/I = 1.61/2.76 = 0.58. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.39 mm, I=4.03 mm, S=2.24 mm.	I/L = 4.03/5.39 = 0.75; S/I = 2.24/4.03 = 0.56. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.79 mm, I=3.24 mm, S=1.78 mm.	I/L = 3.24/3.79 = 0.85; S/I = 1.78/3.24 = 0.55. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.7 mm, I=2.56 mm, S=1.98 mm.	I/L = 2.56/2.7 = 0.95; S/I = 1.98/2.56 = 0.77. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.3 mm, I=2.58 mm, S=1.32 mm.	I/L = 2.58/3.3 = 0.78; S/I = 1.32/2.58 = 0.51. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.28 mm, I=1.64 mm, S=1.22 mm.	I/L = 1.64/2.28 = 0.72; S/I = 1.22/1.64 = 0.74. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.3 mm, I=1.56 mm, S=0.76 mm.	I/L = 1.56/2.3 = 0.68; S/I = 0.76/1.56 = 0.49. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.23 mm, I=2.88 mm, S=2.6 mm.	I/L = 2.88/4.23 = 0.68; S/I = 2.6/2.88 = 0.90. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.33 mm, I=3.33 mm, S=1.89 mm.	I/L = 3.33/5.33 = 0.62; S/I = 1.89/3.33 = 0.57. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.41 mm, I=2.98 mm, S=1.54 mm.	I/L = 2.98/4.41 = 0.68; S/I = 1.54/2.98 = 0.52. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.69 mm, I=4.55 mm, S=3.12 mm.	I/L = 4.55/5.69 = 0.80; S/I = 3.12/4.55 = 0.69. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.97 mm, I=4.39 mm, S=2.39 mm.	I/L = 4.39/4.97 = 0.88; S/I = 2.39/4.39 = 0.54. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.67 mm, I=1.25 mm, S=0.83 mm.	I/L = 1.25/1.67 = 0.75; S/I = 0.83/1.25 = 0.66. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.44 mm, I=2.94 mm, S=2.31 mm.	I/L = 2.94/3.44 = 0.85; S/I = 2.31/2.94 = 0.79. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.92 mm, I=3.76 mm, S=2.45 mm.	I/L = 3.76/5.92 = 0.64; S/I = 2.45/3.76 = 0.65. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.83 mm, I=2.55 mm, S=1.46 mm.	I/L = 2.55/2.83 = 0.90; S/I = 1.46/2.55 = 0.57. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.11 mm, I=1.6 mm, S=1.06 mm.	I/L = 1.6/2.11 = 0.76; S/I = 1.06/1.6 = 0.66. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.54 mm, I=1.75 mm, S=1.6 mm.	I/L = 1.75/2.54 = 0.69; S/I = 1.6/1.75 = 0.91. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.33 mm, I=3.0 mm, S=2.18 mm.	I/L = 3.0/3.33 = 0.90; S/I = 2.18/3.0 = 0.73. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.44 mm, I=1.37 mm, S=1.19 mm.	I/L = 1.37/1.44 = 0.95; S/I = 1.19/1.37 = 0.87. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.85 mm, I=5.41 mm, S=4.73 mm.	I/L = 5.41/5.85 = 0.92; S/I = 4.73/5.41 = 0.87. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.0 mm, I=1.54 mm, S=0.86 mm.	I/L = 1.54/2.0 = 0.77; S/I = 0.86/1.54 = 0.56. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.12 mm, I=1.94 mm, S=1.24 mm.	I/L = 1.94/3.12 = 0.62; S/I = 1.24/1.94 = 0.64. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.93 mm, I=4.11 mm, S=3.46 mm.	I/L = 4.11/5.93 = 0.69; S/I = 3.46/4.11 = 0.84. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.38 mm, I=2.53 mm, S=2.35 mm.	I/L = 2.53/3.38 = 0.75; S/I = 2.35/2.53 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
